"PRODUCT","NOUSCD","NUM","MIN","MAX"
"ARG-20","999-9999",50,0.00,0.00
"ARG-20","999-9999",60,0.00,0.10
"ARG-20","999-9999",70,0.20,0.60
"ARG-20","999-9999",80,1.00,3.50
"ARG-20","999-9999",90,7.00,11.00
"ARG-20","999-9999",100,17.00,25.00
"ARG-20","999-9999",110,30.00,40.00
"ARG-20","999-9999",120,18.00,29.00
"ARG-20","999-9999",130,4.50,9.00
"ARG-20","999-9999",140,0.30,2.00
"ARG-20","999-9999",150,0.00,0.30
"ARG-20","999-9999",160,73.00,83.00
"ARS-18D","999-9999",10,1.80,0.00
"ARS-18D","999-9999",20,95.00,115.00
"ARS-18D","999-9999",30,2.00,7.00
"ARS-18D","999-9999",40,95.00,105.00
"ARS-18D","999-9999",50,0.00,0.00
"ARS-18D","999-9999",60,0.00,0.40
"ARS-18D","999-9999",70,0.30,1.50
"ARS-18D","999-9999",80,3.00,6.50
"ARS-18D","999-9999",90,11.00,16.00
"ARS-18D","999-9999",100,23.00,31.00
"ARS-18D","999-9999",110,31.00,40.00
"ARS-18D","999-9999",120,10.00,17.00
"ARS-18D","999-9999",130,1.50,3.50
"ARS-18D","999-9999",140,0.10,0.60
"ARS-18D","999-9999",150,0.00,0.10
"ARS-18D","999-9999",160,58.00,70.00
"AY-23DNR","999-9999",10,2.30,0.00
"AY-23DNR","999-9999",20,47.00,51.00
"AY-23DNR","999-9999",30,0.30,4.00
"AY-23DNR","999-9999",40,101.00,104.00
"AY-23DNR","999-9999",50,0.00,0.00
"AY-23DNR","999-9999",60,0.00,0.00
"AY-23DNR","999-9999",70,0.70,1.70
"AY-23DNR","999-9999",80,9.00,12.00
"AY-23DNR","999-9999",90,22.00,26.00
"AY-23DNR","999-9999",100,29.50,33.00
"AY-23DNR","999-9999",110,22.50,26.50
"AY-23DNR","999-9999",120,6.50,9.50
"AY-23DNR","999-9999",130,1.00,2.00
"AY-23DNR","999-9999",140,0.10,0.30
